60
0		59		29		19		58		64		30		87		22		27		21		55		61		42		79		43		27		79		31		65		22		14		43		49		53		22		6		39		65		80		44		35		46		21		81		7		5		54		20		64		44		17		77		55		52		59		16		41		45		76		64		5		60		70		24		45		46		76		71		46
59		0		36		52		23		7		53		32		61		46		38		26		40		25		26		52		32		40		42		88		45		53		66		24		40		63		53		20		38		37		59		46		55		38		36		52		60		15		41		87		49		48		30		76		75		80		43		34		68		37		31		56		9		55		37		14		65		63		64		13
29		36		0		22		29		35		17		58		31		10		12		26		32		13		50		16		26		50		6		52		9		23		30		20		24		33		23		24		36		51		23		10		19		26		52		22		30		25		9		51		15		18		48		40		39		44		19		12		32		47		35		26		31		41		5		32		29		47		42		37
19		52		22		0		51		57		17		80		9		20		18		48		54		35		72		36		32		72		24		46		13		5		34		42		46		11		21		32		58		73		37		28		39		32		74		14		14		47		13		45		37		4		70		48		33		52		25		34		26		69		57		24		53		63		17		38		39		69		64		43
58		23		29		51		0		16		34		29		60		31		37		3		17		16		21		29		31		21		27		65		38		52		43		9		17		62		52		19		15		22		36		23		32		37		23		51		59		8		38		64		26		47		19		53		52		57		42		17		45		18		8		55		14		32		34		19		42		40		41		24
64		7		35		57		16		0		46		25		66		39		43		19		33		22		19		45		37		33		35		81		44		58		59		17		33		68		58		25		31		30		52		39		48		43		29		57		65		10		44		80		42		53		23		69		68		73		48		27		61		30		24		61		4		48		40		19		58		56		57		18
30		53		17		17		34		46		0		63		26		7		29		31		37		28		55		19		43		55		11		35		8		18		17		29		29		28		32		41		41		56		20		11		22		43		57		25		25		38		12		34		20		13		53		31		22		35		36		19		15		52		40		35		44		46		16		49		22		52		47		54
87		32		58		80		29		25		63		0		89		60		66		32		26		45		8		44		60		8		56		56		67		81		46		38		34		91		81		48		22		7		43		52		41		66		6		80		88		33		67		55		43		76		10		44		67		48		71		46		74		11		23		84		27		23		63		42		41		31		32		41
22		61		31		9		60		66		26		89		0		29		23		57		63		44		81		45		35		81		33		43		22		8		43		51		55		2		24		41		67		82		46		37		48		35		83		17		17		56		22		42		46		13		79		57		30		61		28		43		23		78		66		27		62		72		26		47		48		78		73		48
27		46		10		20		31		39		7		60		29		0		22		28		34		21		52		16		36		52		4		42		7		21		20		22		26		31		25		34		38		53		17		8		19		36		54		20		28		31		7		41		17		16		50		30		29		34		29		14		22		49		37		28		37		43		9		42		19		49		44		47
