50
0		36		4		50		28		23		15		5		20		61		4		15		32		53		64		28		50		54		34		21		29		53		47		40		22		10		60		14		21		36		28		38		63		17		31		45		71		30		36		45		57		26		56		11		22		18		52		6		43		29
36		0		32		14		56		19		25		41		20		39		32		29		56		31		42		62		28		32		12		39		11		17		25		4		32		26		38		22		49		4		8		16		41		27		41		37		49		14		18		23		21		42		20		37		50		18		30		34		7		13
4		32		0		46		30		25		11		9		22		63		6		17		34		55		66		30		52		56		36		23		31		49		49		36		24		6		62		16		23		32		24		40		65		19		33		47		73		32		38		47		53		28		52		13		24		20		54		4		39		25
50		14		46		0		70		33		35		55		34		45		46		43		70		37		48		76		34		38		18		53		25		11		31		10		46		40		44		36		63		14		22		22		47		41		55		51		55		28		32		29		7		56		6		51		64		32		36		48		13		21
28		56		30		70		0		37		35		23		36		33		24		27		4		41		42		6		48		52		52		17		45		73		41		60		24		30		40		34		7		56		48		56		41		29		15		19		43		42		38		47		77		14		76		19		6		38		44		34		63		49
23		19		25		33		37		0		26		22		3		38		19		10		37		30		41		43		27		31		15		20		8		36		24		23		13		19		37		9		30		19		11		19		40		8		22		22		48		7		13		22		40		23		39		18		31		5		29		29		26		14
15		25		11		35		35		26		0		20		23		64		11		18		35		56		67		41		53		57		37		24		32		38		50		25		25		7		63		17		28		21		17		41		66		20		34		48		74		33		39		48		42		29		41		16		29		21		55		13		32		14
5		41		9		55		23		22		20		0		21		56		9		12		27		48		59		23		45		49		37		16		30		58		42		45		17		15		55		19		16		41		33		41		58		14		26		40		66		27		31		40		62		21		61		6		17		23		47		11		48		34
20		20		22		34		36		3		23		21		0		41		16		9		36		33		44		42		30		34		16		19		9		37		27		24		12		16		40		6		29		20		12		20		43		7		21		25		51		10		16		25		41		22		40		17		30		2		32		26		27		13
61		39		63		45		33		38		64		56		41		0		57		46		29		16		17		33		23		27		27		40		32		48		16		43		39		57		15		47		40		43		47		31		16		44		30		16		10		31		25		22		52		35		51		50		39		43		19		67		38		52
4		32		6		46		24		19		11		9		16		57		0		11		28		49		60		30		46		50		30		17		25		49		43		36		18		6		56		10		17		32		24		34		59		13		27		41		67		26		32		41		53		22		52		7		18		14		48		10		39		25
15		29		17		43		27		10		18		12		9		46		11		0		27		38		49		33		35		39		25		10		18		46		32		33		7		11		45		7		20		29		21		29		48		2		16		30		56		15		21		30		50		13		49		8		21		11		37		21		36		22
32		56		34		70		4		37		35		27		36		29		28		27		0		41		42		6		48		52		52		17		45		73		41		60		24		30		40		34		11		56		48		56		41		29		15		19		39		42		38		47		77		14		76		21		10		38		44		38		63		49
53		31		55		37		41		30		56		48		33		16		49		38		41		0		11		47		7		11		19		32		24		32		6		35		31		49		7		39		34		35		39		15		10		36		26		22		18		23		17		8		36		27		35		42		35		35		3		59		24		44
64		42		66		48		42		41		67		59		44		17		60		49		42		11		0		48		14		10		30		43		35		37		17		46		42		60		4		50		43		46		50		26		1		47		33		23		7		34		28		19		41		38		46		53		42		46		12		70		35		55
28		62		30		76		6		43		41		23		42		33		30		33		6		47		48		0		54		58		58		23		51		79		47		66		30		36		46		40		13		62		54		62		47		35		21		25		43		48		44		53		83		20		82		25		12		44		50		34		69		55
50		28		52		34		48		27		53		45		30		23		46		35		48		7		14		54		0		4		16		31		21		25		7		32		28		46		10		36		41		32		36		12		13		33		33		29		21		20		14		5		29		34		32		39		42		32		4		56		21		41
54		32		56		38		52		31		57		49		34		27		50		39		52		11		10		58		4		0		20		35		25		27		11		36		32		50		12		40		45		36		40		16		11		37		37		33		17		24		18		9		31		38		36		43		46		36		8		60		25		45
34		12		36		18		52		15		37		37		16		27		30		25		52		19		30		58		16		20		0		35		7		21		13		16		28		30		26		20		45		16		20		4		29		23		37		33		37		10		14		11		25		38		24		33		46		16		18		40		11		25
21		39		23		53		17		20		24		16		19		40		17		10		17		32		43		23		31		35		35		0		28		56		26		43		7		17		39		17		10		39		31		39		42		12		10		24		50		25		21		30		60		5		59		10		11		21		31		27		46		32
29		11		31		25		45		8		32		30		9		32		25		18		45		24		35		51		21		25		7		28		0		28		18		15		21		25		31		15		38		11		15		11		34		16		30		26		42		3		7		16		32		31		31		26		39		11		23		35		18		20
53		17		49		11		73		36		38		58		37		48		49		46		73		32		37		79		25		27		21		56		28		0		32		13		49		43		33		39		66		17		25		17		36		44		58		54		44		31		35		26		4		59		9		54		67		35		29		51		10		24
47		25		49		31		41		24		50		42		27		16		43		32		41		6		17		47		7		11		13		26		18		32		0		29		25		43		13		33		34		29		33		15		16		30		26		22		24		17		11		6		36		27		35		36		35		29		5		53		22		38
40		4		36		10		60		23		25		45		24		43		36		33		60		35		46		66		32		36		16		43		15		13		29		0		36		30		42		26		53		4		12		20		45		31		45		41		53		18		22		27		17		46		16		41		54		22		34		38		11		11
22		32		24		46		24		13		25		17		12		39		18		7		24		31		42		30		28		32		28		7		21		49		25		36		0		18		38		10		17		32		24		32		41		5		9		23		49		18		14		23		53		10		52		11		18		14		30		28		39		25
10		26		6		40		30		19		7		15		16		57		6		11		30		49		60		36		46		50		30		17		25		43		43		30		18		0		56		10		23		26		18		34		59		13		27		41		67		26		32		41		47		22		46		11		24		14		48		10		33		19
60		38		62		44		40		37		63		55		40		15		56		45		40		7		4		46		10		12		26		39		31		33		13		42		38		56		0		46		39		42		46		22		3		43		29		21		11		30		24		15		37		34		42		49		38		42		8		66		31		51
14		22		16		36		34		9		17		19		6		47		10		7		34		39		50		40		36		40		20		17		15		39		33		26		10		10		46		0		27		22		14		24		49		5		19		31		57		16		22		31		43		20		42		15		28		4		38		20		29		15
21		49		23		63		7		30		28		16		29		40		17		20		11		34		43		13		41		45		45		10		38		66		34		53		17		23		39		27		0		49		41		49		42		22		10		24		50		35		31		40		70		7		69		12		1		31		37		27		56		42
36		4		32		14		56		19		21		41		20		43		32		29		56		35		46		62		32		36		16		39		11		17		29		4		32		26		42		22		49		0		8		20		45		27		41		37		53		14		18		27		21		42		20		37		50		18		34		34		11		9
28		8		24		22		48		11		17		33		12		47		24		21		48		39		50		54		36		40		20		31		15		25		33		12		24		18		46		14		41		8		0		24		49		19		33		31		57		16		22		31		29		34		28		29		42		10		38		26		15		5
38		16		40		22		56		19		41		41		20		31		34		29		56		15		26		62		12		16		4		39		11		17		15		20		32		34		22		24		49		20		24		0		25		27		41		37		33		14		18		9		21		42		20		37		50		20		14		44		9		29
63		41		65		47		41		40		66		58		43		16		59		48		41		10		1		47		13		11		29		42		34		36		16		45		41		59		3		49		42		45		49		25		0		46		32		22		8		33		27		18		40		37		45		52		41		45		11		69		34		54
17		27		19		41		29		8		20		14		7		44		13		2		29		36		47		35		33		37		23		12		16		44		30		31		5		13		43		5		22		27		19		27		46		0		14		28		54		13		19		28		48		15		47		10		23		9		35		23		34		20
31		41		33		55		15		22		34		26		21		30		27		16		15		26		33		21		33		37		37		10		30		58		26		45		9		27		29		19		10		41		33		41		32		14		0		14		40		27		23		32		62		5		61		20		9		23		29		37		48		34
