20
0		6		15		10		1		12		14		1		12		9		3		19		9		3		5		13		6		6		10		13
6		0		21		14		7		6		10		7		6		13		7		15		11		7		3		11		12		4		8		9
15		21		0		13		14		27		11		14		27		20		14		18		10		16		20		10		9		17		25		18
10		14		13		0		9		20		24		11		14		7		13		29		19		7		11		23		12		16		12		23
1		7		14		9		0		13		15		2		13		8		4		20		10		2		6		14		5		7		11		14
12		6		27		20		13		0		16		13		8		19		13		9		17		13		9		17		18		10		14		9
14		10		11		24		15		16		0		13		16		23		11		7		5		17		13		1		12		8		18		7
1		7		14		11		2		13		13		0		13		10		2		18		8		4		6		12		5		5		11		12
12		6		27		14		13		8		16		13		0		11		13		17		17		11		7		17		18		10		6		11
9		13		20		7		8		19		23		10		11		0		12		28		18		6		10		22		11		15		5		22
3		7		14		13		4		13		11		2		13		12		0		16		6		6		6		10		5		3		11		10
19		15		18		29		20		9		7		18		17		28		16		0		10		22		18		8		17		13		23		6
9		11		10		19		10		17		5		8		17		18		6		10		0		12		10		4		7		7		15		8
3		7		16		7		2		13		17		4		11		6		6		22		12		0		4		16		7		9		9		16
5		3		20		11		6		9		13		6		7		10		6		18		10		4		0		12		11		5		5		12
13		11		10		23		14		17		1		12		17		22		10		8		4		16		12		0		11		7		17		8
6		12		9		12		5		18		12		5		18		11		5		17		7		7		11		11		0		8		16		11
6		4		17		16		7		10		8		5		10		15		3		13		7		9		5		7		8		0		10		7
10		8		25		12		11		14		18		11		6		5		11		23		15		9		5		17		16		10		0		17
13		9		18		23		14		9		7		12		11		22		10		6		8		16		12		8		11		7		17		0
