30
0		33		35		18		47		17		28		32		41		19		27		26		8		18		21		44		27		39		8		33		17		34		36		31		31		19		10		18		26		17
33		0		34		19		14		26		35		11		14		20		32		13		31		15		20		11		26		38		25		20		18		33		23		16		28		32		23		15		11		16
35		34		0		17		32		18		17		23		26		16		14		21		27		25		14		35		8		12		31		18		18		3		21		18		16		16		37		19		45		38
18		19		17		0		33		7		16		18		27		1		13		12		12		8		3		30		9		21		14		19		1		16		22		17		17		13		20		4		28		21
47		14		32		33		0		40		49		15		6		34		46		21		45		29		30		15		32		24		39		14		32		35		11		16		16		46		37		29		25		30
17		26		18		7		40		0		11		25		34		6		10		19		9		11		10		37		10		22		13		26		8		17		29		24		24		6		19		11		27		20
28		35		17		16		49		11		0		34		43		15		3		28		20		20		19		46		17		29		24		35		17		14		38		33		33		9		30		20		38		31
32		11		23		18		15		25		34		0		9		19		31		6		30		14		15		12		17		27		24		9		17		22		12		5		17		31		22		14		22		15
41		14		26		27		6		34		43		9		0		28		40		15		39		23		24		15		26		24		33		8		26		29		9		10		14		40		31		23		25		24
19		20		16		1		34		6		15		19		28		0		12		13		11		9		4		31		8		20		15		20		2		15		23		18		18		12		21		5		29		22
27		32		14		13		46		10		3		31		40		12		0		25		19		17		16		43		14		26		23		32		14		11		35		30		30		8		29		17		37		30
26		13		21		12		21		19		28		6		15		13		25		0		24		8		9		18		13		25		18		7		11		20		10		5		15		25		16		8		24		17
8		31		27		12		45		9		20		30		39		11		19		24		0		16		15		42		19		31		6		31		13		26		34		29		29		11		10		16		24		15
18		15		25		8		29		11		20		14		23		9		17		8		16		0		11		26		17		29		10		15		7		24		18		13		19		17		12		6		20		13
21		20		14		3		30		10		19		15		24		4		16		9		15		11		0		27		6		18		17		16		4		13		19		14		14		16		23		5		31		24
44		11		35		30		15		37		46		12		15		31		43		18		42		26		27		0		29		39		36		21		29		34		24		17		29		43		34		26		18		27
27		26		8		9		32		10		17		17		26		8		14		13		19		17		6		29		0		12		23		18		10		7		21		16		16		14		29		11		37		30
39		38		12		21		24		22		29		27		24		20		26		25		31		29		18		39		12		0		35		18		22		15		15		22		10		26		41		23		49		42
8		25		31		14		39		13		24		24		33		15		23		18		6		10		17		36		23		35		0		25		13		30		28		23		25		15		6		12		18		9
33		20		18		19		14		26		35		9		8		20		32		7		31		15		16		21		18		18		25		0		18		21		3		4		8		32		23		15		31		24
17		18		18		1		32		8		17		17		26		2		14		11		13		7		4		29		10		22		13		18		0		17		21		16		16		14		19		3		27		20
34		33		3		16		35		17		14		22		29		15		11		20		26		24		13		34		7		15		30		21		17		0		24		19		19		15		36		18		44		37
36		23		21		22		11		29		38		12		9		23		35		10		34		18		19		24		21		15		28		3		21		24		0		7		5		35		26		18		34		27
31		16		18		17		16		24		33		5		10		18		30		5		29		13		14		17		16		22		23		4		16		19		7		0		12		30		21		13		27		20
31		28		16		17		16		24		33		17		14		18		30		15		29		19		14		29		16		10		25		8		16		19		5		12		0		30		31		13		39		32
19		32		16		13		46		6		9		31		40		12		8		25		11		17		16		43		14		26		15		32		14		15		35		30		30		0		21		17		29		22
10		23		37		20		37		19		30		22		31		21		29		16		10		12		23		34		29		41		6		23		19		36		26		21		31		21		0		18		16		7
18		15		19		4		29		11		20		14		23		5		17		8		16		6		5		26		11		23		12		15		3		18		18		13		13		17		18		0		26		19
26		11		45		28		25		27		38		22		25		29		37		24		24		20		31		18		37		49		18		31		27		44		34		27		39		29		16		26		0		9
17		16		38		21		30		20		31		15		24		22		30		17		15		13		24		27		30		42		9		24		20		37		27		20		32		22		7		19		9		0
