40
0		27		45		44		42		41		42		10		43		20		36		60		22		42		40		67		29		10		45		19		50		57		11		27		64		28		27		47		44		53		28		25		40		23		47		39		34		43		38		31
27		0		18		45		37		28		51		21		16		9		59		41		11		35		17		40		12		37		48		30		43		44		38		28		37		5		2		54		17		26		25		26		13		40		28		42		21		38		17		26
45		18		0		27		19		10		33		35		8		25		41		23		23		17		5		22		16		35		30		26		25		26		34		18		19		17		18		36		13		8		17		20		21		22		10		24		11		20		7		14
44		45		27		0		8		17		6		34		35		36		14		16		34		10		28		23		33		34		3		25		6		13		33		17		20		40		43		9		40		23		20		19		48		21		17		5		24		7		28		19
42		37		19		8		0		9		14		32		27		28		22		18		26		2		20		25		25		32		11		23		8		15		31		15		22		32		35		17		32		15		14		17		40		19		9		5		16		1		20		11
41		28		10		17		9		0		23		31		18		21		31		19		19		7		11		26		16		31		20		22		15		16		30		14		23		23		26		26		23		12		13		16		31		18		6		14		7		10		11		10
42		51		33		6		14		23		0		32		41		42		8		18		40		16		34		25		39		32		3		23		8		15		31		23		22		46		49		5		46		29		26		25		54		19		23		9		30		13		34		25
10		21		35		34		32		31		32		0		33		12		38		50		12		32		30		57		19		16		35		9		40		47		17		17		54		18		19		37		34		43		18		15		30		19		37		29		24		33		28		21
43		16		8		35		27		18		41		33		0		23		49		31		21		25		7		24		14		33		38		24		33		34		32		18		23		15		16		44		5		12		15		18		13		30		18		32		11		28		7		16
20		9		25		36		28		21		42		12		23		0		50		40		2		26		20		47		9		28		39		21		34		37		29		19		44		8		7		45		24		33		16		17		20		31		27		33		14		29		18		17
36		59		41		14		22		31		8		38		49		50		0		24		48		24		42		33		47		26		11		29		16		21		25		31		28		54		57		11		54		37		34		33		62		19		31		17		38		21		42		33
60		41		23		16		18		19		18		50		31		40		24		0		38		18		24		15		31		50		15		41		10		3		49		33		8		36		39		13		36		19		32		35		44		37		13		21		26		17		24		29
22		11		23		34		26		19		40		12		21		2		48		38		0		24		18		45		7		26		37		19		32		35		27		17		42		6		9		43		22		31		14		15		18		29		25		31		12		27		16		15
42		35		17		10		2		7		16		32		25		26		24		18		24		0		18		25		23		32		13		23		8		15		31		15		22		30		33		19		30		13		14		17		38		19		7		7		14		3		18		11
40		17		5		28		20		11		34		30		7		20		42		24		18		18		0		27		11		30		31		21		26		27		29		13		24		12		15		37		12		13		12		15		20		23		11		25		6		21		2		9
67		40		22		23		25		26		25		57		24		47		33		15		45		25		27		0		38		57		22		48		17		18		56		40		7		39		40		28		23		14		39		42		29		44		20		28		33		24		29		36
29		12		16		33		25		16		39		19		14		9		47		31		7		23		11		38		0		25		36		18		31		32		26		16		35		7		10		42		15		24		13		14		15		28		18		30		9		26		9		14
10		37		35		34		32		31		32		16		33		28		26		50		26		32		30		57		25		0		35		9		40		47		1		17		54		32		35		37		34		43		18		15		40		13		37		29		24		33		28		21
45		48		30		3		11		20		3		35		38		39		11		15		37		13		31		22		36		35		0		26		5		12		34		20		19		43		46		6		43		26		23		22		51		22		20		6		27		10		31		22
19		30		26		25		23		22		23		9		24		21		29		41		19		23		21		48		18		9		26		0		31		38		8		8		45		25		28		28		25		34		9		6		33		10		28		20		15		24		19		12
50		43		25		6		8		15		8		40		33		34		16		10		32		8		26		17		31		40		5		31		0		7		39		23		14		38		41		11		38		21		22		25		46		27		15		11		22		7		26		19
57		44		26		13		15		16		15		47		34		37		21		3		35		15		27		18		32		47		12		38		7		0		46		30		11		39		42		10		39		22		29		32		47		34		16		18		23		14		27		26
11		38		34		33		31		30		31		17		32		29		25		49		27		31		29		56		26		1		34		8		39		46		0		16		53		33		36		36		33		42		17		14		41		12		36		28		23		32		27		20
27		28		18		17		15		14		23		17		18		19		31		33		17		15		13		40		16		17		20		8		23		30		16		0		37		23		26		26		23		26		3		2		31		12		20		14		7		16		11		4
64		37		19		20		22		23		22		54		23		44		28		8		42		22		24		7		35		54		19		45		14		11		53		37		0		36		37		21		28		11		36		39		36		41		17		25		30		21		26		33
28		5		17		40		32		23		46		18		15		8		54		36		6		30		12		39		7		32		43		25		38		39		33		23		36		0		3		49		16		25		20		21		12		35		23		37		16		33		12		21
