20
0		24		11		11		6		12		12		14		9		16		17		8		19		10		23		8		6		9		14		14
24		0		13		13		18		12		14		18		15		10		7		22		5		18		3		18		28		15		10		10
11		13		0		8		5		9		9		13		6		5		8		9		10		9		12		9		15		6		3		3
11		13		8		0		5		1		17		5		14		13		6		9		8		5		12		17		15		2		11		9
6		18		5		5		0		6		14		8		11		10		11		4		13		4		17		14		10		3		8		8
12		12		9		1		6		0		18		6		15		14		5		10		7		6		11		18		16		3		12		10
12		14		9		17		14		18		0		22		3		4		17		16		19		18		11		6		16		15		6		8
14		18		13		5		8		6		22		0		19		18		11		6		13		4		17		22		10		7		16		14
9		15		6		14		11		15		3		19		0		7		14		13		16		15		14		3		13		12		5		5
16		10		5		13		10		14		4		18		7		0		13		14		15		14		7		10		20		11		2		4
17		7		8		6		11		5		17		11		14		13		0		15		2		11		6		17		21		8		11		9
8		22		9		9		4		10		16		6		13		14		15		0		17		4		21		16		6		7		12		12
19		5		10		8		13		7		19		13		16		15		2		17		0		13		8		19		23		10		13		11
10		18		9		5		4		6		18		4		15		14		11		4		13		0		17		18		10		3		12		10
23		3		12		12		17		11		11		17		14		7		6		21		8		17		0		17		27		14		9		9
8		18		9		17		14		18		6		22		3		10		17		16		19		18		17		0		14		15		8		8
6		28		15		15		10		16		16		10		13		20		21		6		23		10		27		14		0		13		18		18
9		15		6		2		3		3		15		7		12		11		8		7		10		3		14		15		13		0		9		7
14		10		3		11		8		12		6		16		5		2		11		12		13		12		9		8		18		9		0		2
14		10		3		9		8		10		8		14		5		4		9		12		11		10		9		8		18		7		2		0
