30
0		18		9		36		30		9		8		29		17		23		21		5		15		22		35		27		21		16		36		2		21		26		14		18		21		19		14		9		10		17
18		0		17		34		28		15		10		27		31		23		25		23		33		8		33		25		3		32		34		16		19		26		22		36		19		27		18		9		10		35
9		17		0		27		21		18		11		20		14		14		12		10		16		21		26		18		20		15		27		11		14		17		5		19		12		10		5		14		7		18
36		34		27		0		6		45		38		9		21		13		15		37		23		26		3		9		31		22		6		38		15		16		22		26		15		17		22		41		26		27
30		28		21		6		0		39		32		3		15		7		9		31		17		20		5		9		25		16		6		32		13		10		16		20		9		11		16		35		20		21
9		15		18		45		39		0		7		38		26		32		30		8		22		19		44		36		18		25		45		7		30		35		23		21		30		28		23		6		19		20
8		10		11		38		32		7		0		31		21		25		23		13		23		14		37		29		13		22		38		6		23		28		16		26		23		21		16		3		12		25
29		27		20		9		3		38		31		0		12		6		8		30		16		23		6		12		24		13		7		31		16		7		15		17		8		10		15		34		19		20
17		31		14		21		15		26		21		12		0		8		6		18		4		35		18		24		34		1		19		19		28		9		9		5		18		4		13		22		21		8
23		23		14		13		7		32		25		6		8		0		2		24		10		27		12		16		26		9		13		25		20		3		9		13		10		4		9		28		13		14
21		25		12		15		9		30		23		8		6		2		0		22		8		29		14		18		28		7		15		23		22		5		7		11		12		2		7		26		15		12
5		23		10		37		31		8		13		30		18		24		22		0		14		27		36		28		26		17		37		7		22		27		15		13		22		20		15		14		13		12
15		33		16		23		17		22		23		16		4		10		8		14		0		37		22		26		36		3		23		17		30		13		11		3		20		6		15		24		23		4
22		8		21		26		20		19		14		23		35		27		29		27		37		0		25		17		5		36		26		20		11		30		26		40		17		31		22		15		14		39
35		33		26		3		5		44		37		6		18		12		14		36		22		25		0		8		30		19		3		37		14		13		21		23		14		16		21		40		25		26
27		25		18		9		9		36		29		12		24		16		18		28		26		17		8		0		22		25		9		29		6		19		15		29		6		20		13		32		17		28
21		3		20		31		25		18		13		24		34		26		28		26		36		5		30		22		0		35		31		19		16		29		25		39		16		30		21		12		13		38
16		32		15		22		16		25		22		13		1		9		7		17		3		36		19		25		35		0		20		18		29		10		10		4		19		5		14		23		22		7
36		34		27		6		6		45		38		7		19		13		15		37		23		26		3		9		31		20		0		38		15		10		22		24		15		17		22		41		26		27
2		16		11		38		32		7		6		31		19		25		23		7		17		20		37		29		19		18		38		0		23		28		16		20		23		21		16		7		12		19
21		19		14		15		13		30		23		16		28		20		22		22		30		11		14		6		16		29		15		23		0		23		19		33		10		24		15		26		11		32
26		26		17		16		10		35		28		7		9		3		5		27		13		30		13		19		29		10		10		28		23		0		12		14		13		7		12		31		16		17
14		22		5		22		16		23		16		15		9		9		7		15		11		26		21		15		25		10		22		16		19		12		0		14		9		5		4		19		12		13
18		36		19		26		20		21		26		17		5		13		11		13		3		40		23		29		39		4		24		20		33		14		14		0		23		9		18		27		26		3
21		19		12		15		9		30		23		8		18		10		12		22		20		17		14		6		16		19		15		23		10		13		9		23		0		14		7		26		11		22
19		27		10		17		11		28		21		10		4		4		2		20		6		31		16		20		30		5		17		21		24		7		5		9		14		0		9		24		17		10
14		18		5		22		16		23		16		15		13		9		7		15		15		22		21		13		21		14		22		16		15		12		4		18		7		9		0		19		8		17
9		9		14		41		35		6		3		34		22		28		26		14		24		15		40		32		12		23		41		7		26		31		19		27		26		24		19		0		15		26
10		10		7		26		20		19		12		19		21		13		15		13		23		14		25		17		13		22		26		12		11		16		12		26		11		17		8		15		0		25
17		35		18		27		21		20		25		20		8		14		12		12		4		39		26		28		38		7		27		19		32		17		13		3		22		10		17		26		25		0
