60
0		52		43		23		52		27		20		37		81		55		12		48		21		56		47		53		13		54		21		59		80		21		58		77		18		71		55		87		61		46		27		47		57		69		42		50		27		47		59		6		33		37		64		27		59		37		57		72		60		29		68		50		51		71		18		27		58		52		71		36
52		0		9		29		52		39		44		15		29		55		46		14		31		56		47		7		45		54		47		13		28		31		58		33		34		37		55		35		37		20		25		25		23		17		42		14		25		27		7		46		33		15		14		25		59		15		57		20		54		23		68		32		51		19		40		25		58		48		19		20
43		9		0		20		49		30		35		8		38		52		37		11		22		53		44		10		36		51		38		16		37		22		55		34		25		34		52		44		34		23		16		28		20		26		39		17		16		30		16		37		30		14		21		16		56		6		54		29		51		20		65		35		48		28		31		16		55		45		28		17
23		29		20		0		49		24		17		14		58		52		17		25		4		53		44		30		16		51		18		36		57		6		55		54		11		48		52		64		38		23		12		28		34		46		39		27		6		30		36		17		30		14		41		14		56		14		54		49		51		20		65		35		48		48		15		16		55		45		48		17
52		52		49		49		0		25		32		41		47		3		40		38		45		8		5		59		39		18		31		39		54		55		22		43		60		37		15		53		27		72		61		77		29		61		10		66		55		79		49		46		19		63		38		35		7		51		19		46		26		69		16		84		1		37		34		33		12		18		39		32
27		39		30		24		25		0		7		24		68		28		15		35		20		29		22		40		14		39		8		46		67		30		43		64		35		58		36		74		48		47		36		52		44		56		29		41		30		54		46		21		16		38		51		14		32		26		40		59		47		44		41		59		24		58		9		14		33		39		58		23
20		44		35		17		32		7		0		29		73		35		8		40		13		36		27		45		7		44		3		51		72		23		48		69		28		63		41		79		53		40		29		45		49		61		34		42		23		47		51		14		21		31		56		19		39		29		45		64		52		37		48		52		31		63		4		19		38		44		63		28
37		15		8		14		41		24		29		0		44		44		31		11		16		45		36		18		30		43		32		22		43		16		47		40		19		34		44		50		26		31		20		36		20		32		31		25		14		38		22		31		22		22		27		10		48		10		46		35		43		28		57		43		40		34		25		10		47		37		34		9
81		29		38		58		47		68		73		44		0		50		75		33		60		55		46		36		74		29		76		22		31		60		29		4		63		10		32		6		20		49		54		54		24		38		39		43		54		56		26		75		52		44		17		54		52		44		28		23		25		52		43		61		48		10		69		54		35		29		16		45
55		55		52		52		3		28		35		44		50		0		43		41		48		5		8		62		42		21		34		42		57		58		25		46		63		40		18		56		30		75		64		80		32		64		13		69		58		82		52		49		22		66		41		38		4		54		22		49		29		72		13		87		4		40		37		36		15		21		42		35
12		46		37		17		40		15		8		31		75		43		0		42		15		44		35		47		1		46		9		53		74		15		50		71		20		65		43		81		55		40		21		41		51		63		36		44		21		41		53		6		23		31		58		21		47		31		47		66		54		29		56		44		39		65		6		21		46		46		65		30
48		14		11		25		38		35		40		11		33		41		42		0		27		42		33		21		41		40		43		11		32		27		44		29		30		23		41		39		23		34		23		39		9		23		28		28		21		41		11		42		19		25		16		21		45		13		43		24		40		31		54		46		37		23		36		21		44		34		23		12
21		31		22		4		45		20		13		16		60		48		15		27		0		49		40		32		14		47		16		38		59		10		51		56		15		50		48		66		40		27		16		32		36		48		35		29		10		34		38		15		26		18		43		10		52		16		50		51		47		24		61		39		44		50		11		12		51		41		50		15
56		56		53		53		8		29		36		45		55		5		44		42		49		0		9		63		43		26		35		43		58		59		30		51		64		45		23		61		35		76		65		81		33		65		16		70		59		83		53		50		23		67		42		39		3		55		27		50		34		73		12		88		7		45		38		37		20		26		45		36
47		47		44		44		5		22		27		36		46		8		35		33		40		9		0		54		34		17		30		34		49		50		21		42		55		36		14		52		26		67		56		72		24		56		7		61		50		74		44		41		14		58		33		30		12		46		18		41		25		64		21		79		4		36		29		28		11		17		36		27
53		7		10		30		59		40		45		18		36		62		47		21		32		63		54		0		46		61		48		20		27		32		65		40		35		44		62		34		44		13		26		18		30		16		49		7		26		20		10		47		40		16		21		26		66		16		64		19		61		24		75		25		58		26		41		26		65		55		20		27
13		45		36		16		39		14		7		30		74		42		1		41		14		43		34		46		0		45		8		52		73		16		49		70		21		64		42		80		54		39		22		40		50		62		35		43		20		40		52		7		22		30		57		20		46		30		46		65		53		30		55		45		38		64		5		20		45		45		64		29
54		54		51		51		18		39		44		43		29		21		46		40		47		26		17		61		45		0		47		41		56		57		4		25		62		19		3		35		17		74		63		79		31		63		12		68		57		81		51		48		23		65		40		37		23		53		3		48		8		71		14		86		19		35		40		35		6		6		41		34
21		47		38		18		31		8		3		32		76		34		9		43		16		35		30		48		8		47		0		54		75		24		51		72		29		66		44		82		56		41		30		46		52		64		37		45		24		48		54		15		24		32		59		22		38		32		48		67		55		38		47		53		30		66		7		22		41		47		66		31
59		13		16		36		39		46		51		22		22		42		53		11		38		43		34		20		52		41		54		0		21		38		45		20		41		24		42		28		24		33		32		38		10		22		29		27		32		40		10		53		30		24		5		32		46		22		44		13		41		30		55		45		38		12		47		32		45		35		12		23
80		28		37		57		54		67		72		43		31		57		74		32		59		58		49		27		73		56		75		21		0		59		60		35		62		39		57		25		39		34		53		33		25		11		44		30		53		33		21		74		51		43		16		53		61		43		59		8		56		51		70		30		53		21		68		53		60		50		15		44
21		31		22		6		55		30		23		16		60		58		15		27		10		59		50		32		16		57		24		38		59		0		61		56		5		50		58		66		40		25		6		26		36		48		45		29		6		26		38		15		36		16		43		20		62		16		60		51		57		14		71		29		54		50		21		22		61		51		50		23
58		58		55		55		22		43		48		47		29		25		50		44		51		30		21		65		49		4		51		45		60		61		0		25		66		21		7		35		21		78		67		83		35		67		16		72		61		85		55		52		27		69		44		41		27		57		3		52		4		75		18		90		23		39		44		39		10		10		45		38
