70
0		38		55		25		82		77		52		56		55		56		31		86		49		97		77		40		68		71		17		21		40		39		27		37		31		76		28		35		55		61		58		21		48		42		108		11		53		67		86		68		12		17		58		10		34		50		63		88		59		26		58		16		27		33		18		64		49		24		68		7		59		42		48		46		56		107		26		39		55		92
38		0		93		45		74		49		24		54		43		28		63		58		21		69		49		60		60		49		53		17		78		53		43		9		69		48		66		7		93		93		36		59		80		4		80		49		25		39		58		106		28		23		30		28		44		84		101		74		75		64		60		54		65		15		28		60		21		24		80		39		97		30		10		54		94		79		26		77		27		64
55		93		0		48		31		72		95		39		50		87		30		71		98		46		66		33		33		44		40		76		17		40		50		86		42		57		53		86		26		10		57		58		13		97		57		44		72		76		49		13		65		72		105		65		49		9		16		37		18		35		33		41		48		78		65		33		82		69		17		58		8		63		103		39		15		56		67		42		86		65
25		45		48		0		57		52		47		31		30		39		18		61		50		72		52		15		43		46		8		28		33		14		2		38		24		51		27		38		48		48		33		32		35		49		83		18		28		42		61		61		17		24		57		19		9		39		56		63		34		19		33		15		22		30		17		39		34		21		43		32		52		17		55		21		49		82		19		32		38		67
82		74		31		57		0		53		76		26		31		68		51		52		79		19		47		42		14		25		65		67		48		43		55		67		73		38		84		67		57		21		38		89		34		78		36		75		53		57		30		32		70		77		86		76		48		32		47		6		23		66		24		72		79		59		64		18		63		58		14		89		23		44		84		36		46		37		56		73		67		46
77		49		72		52		53		0		25		33		22		21		46		9		28		34		6		39		39		28		60		62		57		38		50		40		68		15		79		42		72		72		19		84		59		45		31		70		24		10		23		85		65		72		33		71		43		63		80		53		54		61		39		67		74		44		59		39		28		53		59		84		76		35		39		33		73		30		51		68		22		15
52		24		95		47		76		25		0		56		45		8		65		34		3		57		29		62		62		51		55		37		80		55		45		15		71		38		68		17		95		95		38		61		82		20		56		51		23		19		46		108		40		47		10		46		46		86		103		76		77		66		62		56		67		19		34		62		13		28		82		59		99		32		14		56		96		55		28		79		9		40
56		54		39		31		26		33		56		0		11		48		25		32		59		41		27		16		12		15		39		41		24		17		29		47		47		20		58		47		39		39		18		63		26		58		52		49		33		37		30		52		44		51		66		50		22		30		47		32		21		40		6		46		53		39		38		8		43		32		26		63		43		24		64		10		40		51		30		47		47		36
55		43		50		30		31		22		45		11		0		37		24		31		48		42		22		17		17		16		38		40		35		16		28		36		46		21		57		36		50		50		7		62		37		47		53		48		22		26		31		63		43		50		55		49		21		41		58		33		32		39		17		45		52		28		37		17		32		31		37		62		54		13		53		11		51		52		29		46		36		37
56		28		87		39		68		21		8		48		37		0		57		30		11		49		21		54		54		43		47		41		72		47		37		19		63		30		60		21		87		87		30		63		74		24		52		49		15		11		38		100		44		51		18		50		38		78		95		68		69		58		54		48		59		23		38		54		7		32		74		63		91		24		18		48		88		51		30		71		1		36
31		63		30		18		51		46		65		25		24		57		0		55		68		66		46		9		37		40		14		46		15		10		20		56		22		45		33		56		30		30		27		38		17		67		77		24		42		46		55		43		35		42		75		35		19		21		38		57		28		15		27		21		28		48		35		33		52		39		37		38		34		33		73		15		31		76		37		22		56		61
86		58		71		61		52		9		34		32		31		30		55		0		37		33		9		46		38		27		69		71		56		47		59		49		77		14		88		51		71		71		28		93		58		54		22		79		33		19		22		84		74		81		34		80		52		62		79		52		53		70		38		76		83		53		68		38		37		62		58		93		75		44		48		40		72		21		60		77		31		6
49		21		98		50		79		28		3		59		48		11		68		37		0		60		32		65		65		54		58		34		83		58		48		12		74		41		71		14		98		98		41		64		85		17		59		54		26		22		49		111		37		44		9		43		49		89		106		79		80		69		65		59		70		20		33		65		16		29		85		56		102		35		11		59		99		58		31		82		12		43
97		69		46		72		19		34		57		41		42		49		66		33		60		0		28		57		29		26		80		82		63		58		70		60		88		21		99		62		72		38		39		104		49		65		17		90		44		38		11		51		85		92		67		91		63		47		62		19		38		81		39		87		94		64		79		33		48		73		29		104		42		55		65		51		61		18		71		88		48		27
77		49		66		52		47		6		29		27		22		21		46		9		32		28		0		37		33		22		60		62		51		38		50		40		68		9		79		42		66		66		19		84		53		45		31		70		24		10		17		79		65		72		39		71		43		57		74		47		48		61		33		67		74		44		59		33		28		53		53		84		70		35		39		31		67		30		51		68		22		15
40		60		33		15		42		39		62		16		17		54		9		46		65		57		37		0		28		31		23		43		18		7		17		53		31		36		42		53		33		33		24		47		20		64		68		33		39		43		46		46		32		39		72		34		16		24		41		48		19		24		18		30		37		45		32		24		49		36		28		47		37		30		70		6		34		67		34		31		53		52
68		60		33		43		14		39		62		12		17		54		37		38		65		29		33		28		0		11		51		53		34		29		41		53		59		24		70		53		43		33		24		75		20		64		40		61		39		43		18		46		56		63		72		62		34		24		41		20		15		52		10		58		65		45		50		4		49		44		20		75		37		30		70		22		34		39		42		59		53		32
71		49		44		46		25		28		51		15		16		43		40		27		54		26		22		31		11		0		54		56		37		32		44		42		62		13		73		42		46		44		13		78		31		53		37		64		28		32		15		57		59		66		61		65		37		35		52		25		26		55		13		61		68		38		53		11		38		47		31		78		48		29		59		25		45		36		45		62		42		21
17		53		40		8		65		60		55		39		38		47		14		69		58		80		60		23		51		54		0		36		25		22		10		46		16		59		19		46		40		44		41		24		31		57		91		10		36		50		69		53		25		32		65		25		17		33		48		71		42		11		41		7		14		38		25		47		42		29		51		24		44		25		63		29		41		90		27		24		46		75
21		17		76		28		67		62		37		41		40		41		46		71		34		82		62		43		53		56		36		0		61		36		26		22		52		61		49		20		76		76		43		42		63		21		93		32		38		52		71		89		11		10		43		11		27		67		84		73		58		47		43		37		48		18		11		49		34		9		63		22		80		27		27		37		77		92		11		60		40		77
40		78		17		33		48		57		80		24		35		72		15		56		83		63		51		18		34		37		25		61		0		25		35		71		25		42		36		71		15		27		42		41		14		82		74		29		57		61		52		28		50		57		90		50		34		16		23		54		25		18		24		24		31		63		50		30		67		54		34		41		25		48		88		24		16		73		52		25		71		58
39		53		40		14		43		38		55		17		16		47		10		47		58		58		38		7		29		32		22		36		25		0		12		46		30		37		41		46		40		40		19		46		27		57		69		32		32		36		47		53		27		34		65		33		9		31		48		49		22		23		19		29		36		38		25		25		42		29		29		46		44		23		63		7		41		68		27		30		46		53
27		43		50		2		55		50		45		29		28		37		20		59		48		70		50		17		41		44		10		26		35		12		0		36		26		49		29		36		50		50		31		34		37		47		81		20		26		40		59		63		15		22		55		21		7		41		58		61		32		21		31		17		24		28		15		37		32		19		41		34		54		15		53		19		51		80		17		34		36		65
37		9		86		38		67		40		15		47		36		19		56		49		12		60		40		53		53		42		46		22		71		46		36		0		62		39		59		2		86		86		29		52		73		11		71		42		16		30		49		99		25		32		21		31		37		77		94		67		68		57		53		47		58		8		21		53		12		17		73		44		90		23		17		47		87		70		19		70		18		55
31		69		42		24		73		68		71		47		46		63		22		77		74		88		68		31		59		62		16		52		25		30		26		62		0		67		11		62		24		52		49		16		39		73		99		20		48		58		77		43		41		48		81		41		25		41		32		79		50		7		49		15		6		54		41		55		58		45		59		30		50		39		79		37		27		98		43		8		62		83
76		48		57		51		38		15		38		20		21		30		45		14		41		21		9		36		24		13		59		61		42		37		49		39		67		0		78		41		57		57		18		83		44		44		32		69		23		19		10		70		64		71		48		70		42		48		65		38		39		60		24		66		73		43		58		24		27		52		44		83		61		34		46		30		58		31		50		67		29		16
28		66		53		27		84		79		68		58		57		60		33		88		71		99		79		42		70		73		19		49		36		41		29		59		11		78		0		59		27		63		60		7		50		70		110		17		55		69		88		54		38		45		78		38		36		52		37		90		61		18		60		12		5		51		38		66		55		42		70		27		61		44		76		48		38		109		40		11		59		94
