20
0		21		14		18		20		18		13		14		13		23		7		6		12		20		2		5		7		20		9		9
21		0		13		3		1		19		12		15		8		2		14		19		13		3		23		26		14		11		22		16
14		13		0		14		14		8		25		4		7		13		13		12		24		16		16		19		11		6		15		9
18		3		14		0		2		20		11		16		7		5		11		16		10		2		20		23		11		12		19		13
20		1		14		2		0		20		11		16		7		3		13		18		12		2		22		25		13		12		21		15
18		19		8		20		20		0		31		4		13		19		19		12		30		22		18		17		17		14		9		9
13		12		25		11		11		31		0		27		18		12		12		19		3		9		13		16		14		23		22		22
14		15		4		16		16		4		27		0		9		15		15		8		26		18		14		15		13		10		11		5
13		8		7		7		7		13		18		9		0		10		6		11		17		9		15		18		6		7		14		8
23		2		13		5		3		19		12		15		10		0		16		21		15		3		25		28		16		11		24		18
7		14		13		11		13		19		12		15		6		16		0		7		11		13		9		12		2		13		10		10
6		19		12		16		18		12		19		8		11		21		7		0		18		18		6		7		5		18		3		3
12		13		24		10		12		30		3		26		17		15		11		18		0		12		12		13		13		22		21		21
20		3		16		2		2		22		9		18		9		3		13		18		12		0		22		25		13		14		21		15
2		23		16		20		22		18		13		14		15		25		9		6		12		22		0		3		9		22		9		9
5		26		19		23		25		17		16		15		18		28		12		7		13		25		3		0		12		25		8		10
7		14		11		11		13		17		14		13		6		16		2		5		13		13		9		12		0		13		8		8
20		11		6		12		12		14		23		10		7		11		13		18		22		14		22		25		13		0		21		15
9		22		15		19		21		9		22		11		14		24		10		3		21		21		9		8		8		21		0		6
9		16		9		13		15		9		22		5		8		18		10		3		21		15		9		10		8		15		6		0
