20
0		16		13		10		17		30		18		22		1		22		18		17		22		13		22		17		7		24		5		19
16		0		27		12		17		18		2		10		15		14		16		23		6		25		10		19		11		12		11		3
13		27		0		21		10		17		29		19		12		13		11		4		33		2		27		8		18		23		16		30
10		12		21		0		17		30		10		22		9		22		18		17		12		19		22		17		3		24		5		11
17		17		10		17		0		13		19		9		16		5		1		6		23		8		17		2		16		13		16		20
30		18		17		30		13		0		20		8		29		8		12		13		20		17		12		13		29		8		29		19
18		2		29		10		19		20		0		12		17		16		18		25		4		27		12		21		11		14		13		1
22		10		19		22		9		8		12		0		21		6		8		15		14		17		8		11		21		4		21		11
1		15		12		9		16		29		17		21		0		21		17		16		21		12		21		16		6		23		4		18
22		14		13		22		5		8		16		6		21		0		4		9		20		11		14		5		21		10		21		17
18		16		11		18		1		12		18		8		17		4		0		7		22		9		16		3		17		12		17		19
17		23		4		17		6		13		25		15		16		9		7		0		29		4		23		4		16		19		16		26
22		6		33		12		23		20		4		14		21		20		22		29		0		31		12		25		15		14		17		3
13		25		2		19		8		17		27		17		12		11		9		4		31		0		25		6		16		21		14		28
22		10		27		22		17		12		12		8		21		14		16		23		12		25		0		19		21		4		21		11
17		19		8		17		2		13		21		11		16		5		3		4		25		6		19		0		16		15		16		22
7		11		18		3		16		29		11		21		6		21		17		16		15		16		21		16		0		23		2		12
24		12		23		24		13		8		14		4		23		10		12		19		14		21		4		15		23		0		23		13
5		11		16		5		16		29		13		21		4		21		17		16		17		14		21		16		2		23		0		14
19		3		30		11		20		19		1		11		18		17		19		26		3		28		11		22		12		13		14		0
