80
0		33		30		47		100		94		72		63		112		13		59		53		62		37		29		108		70		87		76		61		65		125		85		65		129		116		59		28		65		32		69		43		114		91		32		69		74		111		54		74		76		71		45		71		71		74		63		98		49		99		102		30		85		8		12		11		15		58		14		87		64		66		38		39		80		40		110		110		89		16		86		44		83		94		124		39		89		65		85		75
33		0		49		18		71		65		43		34		83		28		30		20		43		30		6		79		41		58		47		94		36		96		56		36		100		87		44		25		80		3		64		12		85		62		41		40		55		82		25		45		47		42		56		42		86		59		34		69		58		70		73		39		56		37		41		32		18		25		27		54		35		39		9		18		47		31		81		81		60		43		57		77		54		65		95		72		60		36		56		46
30		49		0		49		70		64		42		35		82		29		65		69		32		19		45		78		40		79		46		45		61		95		55		77		99		86		29		24		35		46		39		59		84		61		8		39		44		81		32		68		46		41		15		41		41		44		47		68		19		69		72		10		65		38		18		33		31		74		22		103		56		36		44		31		96		18		80		80		59		44		56		28		53		64		94		23		73		67		63		45
47		18		49		0		53		47		25		16		65		46		16		20		43		30		24		61		27		40		35		94		18		78		38		28		82		69		44		25		80		15		64		10		67		62		41		26		55		64		17		27		43		28		56		36		86		59		16		51		58		52		55		39		38		55		41		50		36		25		33		54		17		39		9		18		47		31		63		63		50		61		41		77		40		47		77		72		42		18		38		46
100		71		70		53		0		18		28		37		20		99		49		55		38		63		77		16		30		63		24		61		45		25		15		61		29		16		41		72		47		68		31		59		30		29		68		31		26		11		46		52		24		29		55		29		53		26		37		24		51		1		8		70		49		108		88		103		89		58		86		87		40		34		62		61		80		60		12		10		17		114		14		60		17		12		24		61		57		51		47		25
94		65		64		47		18		0		22		31		18		93		35		49		32		57		71		14		24		45		20		79		29		31		17		43		35		22		35		66		65		62		49		53		20		47		62		25		40		25		40		34		28		23		49		23		71		44		31		6		45		17		26		64		31		102		82		97		83		46		80		69		30		28		56		55		62		54		16		20		35		108		26		62		25		6		30		57		39		33		29		31
72		43		42		25		28		22		0		9		40		71		37		41		22		35		49		36		6		51		14		73		33		53		13		49		57		44		23		44		59		40		43		31		42		41		40		5		34		39		18		40		22		7		35		15		65		38		19		26		37		27		30		42		37		80		60		75		61		46		58		75		28		18		34		33		68		32		38		38		29		86		20		56		19		22		52		51		45		39		35		25
63		34		35		16		37		31		9		0		49		62		30		34		29		26		40		45		13		44		21		80		26		62		22		42		66		53		30		35		66		31		50		24		51		48		31		12		41		48		9		33		29		14		42		22		72		45		12		35		44		36		39		33		30		71		51		66		52		39		49		68		21		25		25		24		61		23		47		47		36		77		27		63		26		31		61		58		38		32		28		32
112		83		82		65		20		18		40		49		0		111		53		67		50		75		89		4		42		43		36		81		47		13		27		47		17		6		53		84		67		80		51		71		10		49		80		43		42		27		58		38		36		41		67		41		73		46		49		14		63		19		28		82		29		120		100		115		101		64		98		67		48		46		74		73		60		72		8		22		37		126		28		72		29		18		12		73		37		47		27		37
13		28		29		46		99		93		71		62		111		0		58		44		61		36		22		107		69		86		75		74		64		124		84		64		128		115		58		27		64		31		68		40		113		90		31		68		73		110		53		73		75		70		44		70		70		73		62		97		48		98		101		29		84		9		21		4		10		47		13		74		63		65		37		38		67		39		109		109		88		15		85		57		82		93		123		52		88		64		84		74
59		30		65		16		49		35		37		30		53		58		0		14		59		46		36		49		43		28		51		110		6		66		48		12		70		57		60		41		96		27		80		18		55		78		57		42		71		56		33		15		59		44		72		52		102		75		18		39		74		48		57		55		26		67		57		62		48		11		45		38		9		55		21		34		31		47		51		51		66		73		57		93		56		37		65		88		30		6		26		62
53		20		69		20		55		49		41		34		67		44		14		0		63		50		24		63		47		42		55		114		20		80		52		20		84		71		64		45		100		23		84		10		69		82		61		46		75		66		37		29		63		48		76		56		106		79		22		53		78		54		61		59		40		53		61		48		38		5		47		34		19		59		25		38		27		51		65		65		70		59		61		97		60		49		79		92		44		20		40		66
62		43		32		43		38		32		22		29		50		61		59		63		0		25		39		46		16		73		14		51		55		63		23		71		67		54		3		34		37		40		21		53		52		29		30		17		12		49		26		62		14		15		17		9		43		16		41		36		15		37		40		32		59		70		50		65		51		68		48		97		50		4		38		25		90		22		48		48		27		76		24		34		21		32		62		29		67		61		57		13
37		30		19		30		63		57		35		26		75		36		46		50		25		0		26		71		33		60		39		64		42		88		48		58		92		79		22		9		50		27		34		40		77		54		11		32		37		74		17		49		39		34		26		34		56		37		28		61		28		62		65		9		48		45		25		40		26		55		23		84		37		29		25		12		77		3		73		73		52		51		49		47		46		57		87		42		54		48		48		38
29		6		45		24		77		71		49		40		89		22		36		24		39		26		0		85		47		64		53		90		42		102		62		42		106		93		40		21		76		9		60		18		91		68		37		46		51		88		31		51		53		48		52		48		82		55		40		75		54		76		79		35		62		31		37		26		14		29		23		58		41		43		15		16		51		27		87		87		66		37		63		73		60		71		101		68		66		42		62		52
108		79		78		61		16		14		36		45		4		107		49		63		46		71		85		0		38		47		32		77		43		17		23		45		21		8		49		80		63		76		47		67		14		45		76		39		38		23		54		36		32		37		63		37		69		42		45		10		59		15		24		78		33		116		96		111		97		60		94		71		44		42		70		69		64		68		4		18		33		122		24		68		25		14		16		69		41		43		31		33
70		41		40		27		30		24		6		13		42		69		43		47		16		33		47		38		0		57		8		67		39		55		15		55		59		46		17		42		53		38		37		37		44		35		38		1		28		41		16		46		16		1		29		9		59		32		25		28		31		29		32		40		43		78		58		73		59		52		56		81		34		12		32		31		74		30		40		40		23		84		16		50		13		24		54		45		51		45		41		19
87		58		79		40		63		45		51		44		43		86		28		42		73		60		64		47		57		0		65		124		22		50		62		22		58		49		74		59		110		55		94		46		33		92		71		56		85		70		47		13		73		58		86		66		116		89		32		39		88		62		71		69		14		95		75		90		76		39		73		24		23		69		49		48		23		61		51		65		80		101		71		107		70		51		51		102		6		22		16		76
76		47		46		35		24		20		14		21		36		75		51		55		14		39		53		32		8		65		0		59		47		49		9		63		53		40		17		48		45		44		29		45		38		27		44		9		20		35		22		54		8		7		31		5		51		24		33		26		27		23		26		46		51		84		64		79		65		60		62		89		42		10		38		37		82		36		34		34		15		90		10		42		7		18		48		37		59		53		49		11
61		94		45		94		61		79		73		80		81		74		110		114		51		64		90		77		67		124		59		0		106		74		62		122		72		75		50		69		14		91		30		104		91		34		53		68		39		54		77		113		51		66		38		58		14		35		92		85		36		62		53		55		110		65		53		72		76		119		67		148		101		55		89		76		141		63		73		59		44		77		53		17		54		73		73		22		118		112		108		48
65		36		61		18		45		29		33		26		47		64		6		20		55		42		42		43		39		22		47		106		0		60		44		16		64		51		56		37		92		33		76		24		49		74		53		38		67		52		29		9		55		40		68		48		98		71		14		33		70		44		53		51		20		73		53		68		54		17		51		42		5		51		27		30		35		43		45		47		62		79		53		89		52		33		59		84		24		6		20		58
125		96		95		78		25		31		53		62		13		124		66		80		63		88		102		17		55		50		49		74		60		0		40		60		8		9		66		97		60		93		56		84		17		42		93		56		51		20		71		51		49		54		80		54		66		51		62		27		76		26		23		95		40		133		113		128		114		77		111		74		61		59		87		86		67		85		15		15		36		139		39		85		42		31		1		86		44		60		40		50
85		56		55		38		15		17		13		22		27		84		48		52		23		48		62		23		15		62		9		62		44		40		0		60		44		31		26		57		48		53		32		44		29		30		53		16		23		26		31		51		11		14		40		14		54		27		30		23		36		14		17		55		48		93		73		88		74		57		71		86		39		19		47		46		79		45		25		25		18		99		9		45		8		11		39		46		56		50		46		14
65		36		77		28		61		43		49		42		47		64		12		20		71		58		42		45		55		22		63		122		16		60		60		0		64		51		72		53		108		33		92		24		49		90		69		54		83		68		45		9		71		56		84		64		114		87		30		37		86		60		69		67		20		73		69		68		54		17		55		26		21		67		33		46		19		59		49		63		78		79		69		105		68		49		59		100		24		10		20		74
129		100		99		82		29		35		57		66		17		128		70		84		67		92		106		21		59		58		53		72		64		8		44		64		0		13		70		101		64		97		60		88		25		38		97		60		55		18		75		55		53		58		84		58		58		55		66		31		80		30		27		99		44		137		117		132		118		81		115		82		65		63		91		90		75		89		19		19		40		143		43		89		46		35		7		90		52		64		44		54
116		87		86		69		16		22		44		53		6		115		57		71		54		79		93		8		46		49		40		75		51		9		31		51		13		0		57		88		61		84		47		75		16		43		84		47		42		21		62		42		40		45		71		45		67		42		53		18		67		17		22		86		35		124		104		119		105		68		102		73		52		50		78		77		66		76		6		16		31		130		30		76		33		22		8		77		43		51		33		41
59		44		29		44		41		35		23		30		53		58		60		64		3		22		40		49		17		74		17		50		56		66		26		72		70		57		0		31		36		41		20		54		55		32		27		18		15		52		27		63		17		16		14		12		42		15		42		39		14		40		43		29		60		67		47		62		48		69		45		98		51		7		39		26		91		19		51		51		30		73		27		33		24		35		65		28		68		62		58		16
28		25		24		25		72		66		44		35		84		27		41		45		34		9		21		80		42		59		48		69		37		97		57		53		101		88		31		0		55		22		41		35		86		63		16		41		46		83		26		46		48		43		31		43		61		46		35		70		33		71		74		14		57		36		16		31		17		50		14		79		36		38		20		11		72		12		82		82		61		42		58		52		55		66		96		47		61		43		57		47
65		80		35		80		47		65		59		66		67		64		96		100		37		50		76		63		53		110		45		14		92		60		48		108		64		61		36		55		0		77		16		90		77		26		39		54		25		46		63		99		37		52		24		44		6		21		78		71		22		48		39		41		96		73		53		68		62		105		53		134		87		41		75		62		127		49		59		45		30		79		39		25		40		59		59		26		104		98		94		34
32		3		46		15		68		62		40		31		80		31		27		23		40		27		9		76		38		55		44		91		33		93		53		33		97		84		41		22		77		0		61		13		82		59		38		37		52		79		22		42		44		39		53		39		83		56		31		66		55		67		70		36		53		40		38		35		21		28		24		57		32		36		6		15		50		28		78		78		57		46		54		74		51		62		92		69		57		33		53		43
69		64		39		64		31		49		43		50		51		68		80		84		21		34		60		47		37		94		29		30		76		56		32		92		60		47		20		41		16		61		0		74		61		22		37		38		9		42		47		83		21		36		24		28		22		5		62		55		20		32		33		39		80		77		57		72		58		89		55		118		71		25		59		46		111		33		43		41		20		83		23		29		24		43		55		30		88		82		78		18
43		12		59		10		59		53		31		24		71		40		18		10		53		40		18		67		37		46		45		104		24		84		44		24		88		75		54		35		90		13		74		0		73		72		51		36		65		70		27		33		53		38		66		46		96		69		22		57		68		58		61		49		44		49		51		44		30		15		37		44		23		49		15		28		37		41		69		69		60		55		51		87		50		53		83		82		48		24		44		56
114		85		84		67		30		20		42		51		10		113		55		69		52		77		91		14		44		33		38		91		49		17		29		49		25		16		55		86		77		82		61		73		0		59		82		45		52		37		60		40		40		43		69		43		83		56		51		16		65		29		38		84		29		122		102		117		103		66		100		57		50		48		76		75		50		74		18		32		47		128		38		74		37		20		18		75		27		49		29		43
91		62		61		62		29		47		41		48		49		90		78		82		29		54		68		45		35		92		27		34		74		42		30		90		38		43		32		63		26		59		22		72		59		0		59		36		17		22		45		81		19		34		46		26		24		17		60		53		42		30		21		61		78		99		79		94		80		87		77		116		69		25		57		52		109		51		41		27		12		105		21		51		22		41		41		52		86		80		76		16
32		41		8		41		68		62		40		31		80		31		57		61		30		11		37		76		38		71		44		53		53		93		53		69		97		84		27		16		39		38		37		51		82		59		0		37		42		79		24		60		44		39		15		39		45		42		39		66		17		67		70		2		57		40		20		35		23		66		18		95		48		34		36		23		88		10		78		78		57		46		54		36		51		62		92		31		65		59		55		43
69		40		39		26		31		25		5		12		43		68		42		46		17		32		46		39		1		56		9		68		38		56		16		54		60		47		18		41		54		37		38		36		45		36		37		0		29		42		15		45		17		2		30		10		60		33		24		29		32		30		33		39		42		77		57		72		58		51		55		80		33		13		31		30		73		29		41		41		24		83		17		51		14		25		55		46		50		44		40		20
74		55		44		55		26		40		34		41		42		73		71		75		12		37		51		38		28		85		20		39		67		51		23		83		55		42		15		46		25		52		9		65		52		17		42		29		0		37		38		74		12		27		29		19		31		4		53		46		25		25		28		44		71		82		62		77		63		80		60		109		62		16		50		37		102		34		36		36		15		88		14		34		15		34		50		35		79		73		69		9
111		82		81		64		11		25		39		48		27		110		56		66		49		74		88		23		41		70		35		54		52		20		26		68		18		21		52		83		46		79		42		70		37		22		79		42		37		0		57		59		35		40		66		40		46		37		48		31		62		12		9		81		56		119		99		114		100		65		97		94		47		45		73		72		87		71		19		5		22		125		25		71		28		19		19		72		64		58		54		36
54		25		32		17		46		40		18		9		58		53		33		37		26		17		31		54		16		47		22		77		29		71		31		45		75		62		27		26		63		22		47		27		60		45		24		15		38		57		0		36		26		17		39		19		69		42		15		44		41		45		48		24		33		62		42		57		43		42		40		71		24		22		16		15		64		14		56		56		35		68		32		60		29		40		70		55		41		35		31		29
